address,chanquannianxian,chanquanxingzhi,chaoxiang,danjia,dianti,house_type,huxing,huxingjiegou,jianzhumianji,jianzhuniajdai,link,louceng,lvhualv,rongjilv,title,wuyefeiyong,wuyeleixing,xiaoqu,zhuangxiu
绿岛嘉园福州南路-青岛市南区福州南路16号,,个人产权,南北,28876元/平米,有,,3室2厅2卫,平层,169平米,住宅                    ,http://esf.qd.fang.com/chushou/18_211132867_11484682x2411599147_160510965.htm,高层,30%,2,绿岛嘉园 封闭小区 精装修 大套三 视野,1.2元/平米·月,住宅                    ,绿岛嘉园,精装修
东海路9号东海路-东海西路15号乙,70,个人产权,南,29012元/平米,有,,2室2厅2卫,平层,162平米,住宅                    ,http://esf.qd.fang.com/chushou/18_209316808_11491443x2411132903_165314008.htm,中层,25%,8.95,东海路9号 沿海住宅 满五年 市南海景房 精装修 五四广场,9元/平米·月,住宅                    ,东海路9号,豪华装修
金海广场奥帆中心-澳门路136号,70年产权;,商品房,南北,40670元/平米,无,,5室2厅3卫,,209平米,住宅                    ,http://esf.qd.fang.com/chushou/18_210707322_11631081x2411603145_162608820.htm,中层,46%,1.9,奥帆 金海 复式 5居室 南北通透 精装修 燕岛国际柏丽澜庭,1.2元/平米·月,住宅                    ,金海广场,精装修
海信慧园湛山-延安三路202号,70年产权;,个人产权,南北,45381元/平米,无,,3室2厅2卫,,154.03平米,住宅                    ,http://esf.qd.fang.com/chushou/18_211298584_11722323x2411013591_164447044.htm,中层,40%,2.5,精装二楼 市南实验 五十九中 户型方正,0.5元/平米·月,住宅                    ,海信慧园,精装修
海信璞园天山-银川西路20号,70年产权;,商品房,南北,31977元/平米,无,,2室2厅1卫,,86平米,住宅                    ,http://esf.qd.fang.com/chushou/18_209990021_11497368x2411283071_165919459.htm,中层,40%,4,10年封闭小区 海信开发 南北通透 精装 安静采光好 急,1.6元/平米·月,住宅                    ,海信璞园,精装修
新贵都D区浮山所-南京路78号-98号,70年产权;,商品房,南北,20000元/平米,无,,2室1厅1卫,平层,111平米,住宅                    ,http://esf.qd.fang.com/chushou/18_212804214_11964515x2411668995_166020098.htm,高层,40%,4.6,新贵都D区 精装套二 南北通透 交通便利,1.2元/平米·月,住宅                    ,新贵都D区,中装修
天慧苑二轻新村-宁夏路118号,70年产权;,商品房,东,26282元/平米,有,,2室1厅1卫,平层,78平米,住宅                    ,http://esf.qd.fang.com/chushou/18_212839310_12283161x2411669687_160117890.htm,中层,20%,1.56,宁夏路口 中联广场天慧苑205万元朝向南北干净舒适 交通便利,0.4元/平米·月,住宅                    ,天慧苑,精装修
中海银海一号天山-银川西路7号,70年产权;,商品房,南北,34653元/平米,无,,4室2厅2卫,平层,202平米,住宅                    ,http://esf.qd.fang.com/chushou/18_211770456_11490008x2411267823_160309328.htm,低层,40.1%,3.25,瑞纳半山中海银海一号 前排套四 南北通透 安静不吵,2.05元/平米·月,住宅                    ,中海银海一号,精装修
青啤花园浮山所-青岛市南区闽江路130、140-148号,,个人产权,南北,26669元/平米,无,,3室1厅1卫,平层,97.49平米,住宅                    ,http://esf.qd.fang.com/chushou/18_211891716_11488358x2411597385_160524683.htm,高层,20%,1.3,稀有套三 青啤花园 近地/铁口 小区中 近家乐福 采光好 总价低,0.5元/平米·月,住宅                    ,青啤花园,简装修
永乐花园辛家庄-燕儿岛路19号,,商品房,南北,25220元/平米,有,,3室2厅1卫,平层,148.69平米,住宅                    ,http://esf.qd.fang.com/chushou/18_212688357_11475000x2411657157_162498372.htm,高层,40%,,永乐花园 电梯房套三厅 金门路 仅2.52万 视野好 急售,1元/平米·月,住宅                    ,永乐花园,简装修
芝泉山庄湛山-芝泉路11-15号,,商品房,南,44381元/平米,无,,3室1厅2卫,平层,105平米,住宅                    ,http://esf.qd.fang.com/chushou/18_210381399_11483642x2411665969_165325890.htm,低层,30%,1,精装修芝泉山庄近正一山庄慧园一期低楼层南北通透采光充足,1元/平米·月,住宅                    ,芝泉山庄,简装修
弘信山庄天山-宁夏路274号,,商品房,南北,33371元/平米,无,,2室2厅1卫,,89平米,住宅                    ,http://esf.qd.fang.com/chushou/18_209251838_11659488x2411591105_164861196.htm,高层,40%,1.6,福林花园 弘信山庄 新上顶加阁 阁楼利用率80 急售价格,0.8元/平米·月,住宅                    ,弘信山庄,精装修
远洋新村八大湖-高邮湖路26号,,商品房,南北,26467元/平米,无,,3室1厅1卫,,86.9平米,住宅                    ,http://esf.qd.fang.com/chushou/18_212648639_11484026x2411666867_165494540.htm,高层,35%,1.8,"新上好房,远洋新村 3室1厅 86平,南北通透",0.36元/平米·月,住宅                    ,远洋新村,精装修
东海路9号东海路-东海西路15号乙,70,个人产权,南北,47923元/平米,无,,3室2厅3卫,,313平米,住宅                    ,http://esf.qd.fang.com/chushou/18_202457909_12402893x2411132903_160540316.htm,中层,25%,8.95,未曾有不再有东海路9号正南向大船头270度永不落幕的景观视野,9元/平米·月,住宅                    ,东海路9号,豪华装修
福林小区大尧-大尧二路17号,,商品房,南,31250元/平米,无,,2室1厅1卫,平层,51.2平米,住宅                    ,http://esf.qd.fang.com/chushou/18_212585652_11491012x2411632347_164580688.htm,高层,40%,2,"福林小区,婚精装套二,中间楼层,邻近,出行便捷",0.4元/平米·月,住宅                    ,福林小区,精装修
颐中高山天山-旌德路26号,70年产权;,商品房,南,30594元/平米,无,,3室2厅2卫,,169.97平米,住宅                    ,http://esf.qd.fang.com/chushou/18_212473783_11238632x2411097380_160572242.htm,高层,40.2%,1.29,"颐中高山,精装大套三,满五年,高楼层,视野好",1.4元/平米·月,住宅                    ,颐中高山,精装修
福林花园福州南路-大尧二路17号,70年产权;,个人产权,南,30958元/平米,无,,2室0厅1卫,平层,51.36平米,住宅                    ,http://esf.qd.fang.com/chushou/18_212562086_11488628x2411633663_164640716.htm,高层,20%,1,福林花园 顶加阁 小户型 带露台,0.3元/平米·月,住宅                    ,福林花园,精装修
云南路小区火车站-云南路周边散盘,,商品房,南,28954元/平米,无,,2室1厅1卫,,68.73平米,住宅                    ,http://esf.qd.fang.com/chushou/18_211730370_12182871x2411511823_163634541.htm,高层,25%,3,"云南路小区,经济实惠套二,精装修,采光好。",暂无资料,住宅                    ,云南路小区,精装修
辛家庄三小区辛家庄-宁夏路与燕儿岛路交汇处,70年产权;,个人产权,南北,34110元/平米,无,,2室1厅1卫,平层,60.1平米,住宅                    ,http://esf.qd.fang.com/chushou/18_212707566_11713157x2411595503_165940570.htm,低层,35%,1.5,辛家庄区 一楼带院 精装套二 位置安静 位置 方便看房,1.2元/平米·月,住宅                    ,辛家庄三小区,精装修
都市118浮山所-南京路118号,70年产权;,个人产权,南北,27692元/平米,无,,1室1厅1卫,,65平米,住宅                    ,http://esf.qd.fang.com/chushou/18_212658870_12146652x2411273343_163569930.htm,高层,20%,11,"精装修,高层视野棒 都市118 楼下口 全明户型 采光棒",1.6元/平米·月,住宅                    ,都市118,精装修
东海路9号东海路-东海西路15号乙,70,商品房,东北,35135元/平米,无,,2室2厅2卫,平层,148平米,住宅                    ,http://esf.qd.fang.com/chushou/18_209509237_11475323x2411132903_163803352.htm,中层,25%,8.95,东海路9号 套二双卫 浅色调豪华装修 带车位 楼层好,9元/平米·月,住宅                    ,东海路9号,豪华装修
都市假日浮山所-江西路82号,70年产权;,商品房,南北,35673元/平米,无,,3室2厅2卫,,154.18平米,住宅                    ,http://esf.qd.fang.com/chushou/18_211104902_11485079x2411096742_163800005.htm,低层,31%,3.09,都市假日 3室2厅 154平,1.2元/平米·月,住宅                    ,都市假日,精装修
延福花园广电大厦-延吉路166号,,经济适用房,东南,31765元/平米,有,,4室2厅2卫,平层,144.5平米,住宅                    ,http://esf.qd.fang.com/chushou/18_211200304_12300858x2411543183_165049407.htm,中层,40%,1.2,延福花园市南区分房三南卧一北卧东厅套四钻石户型,1.08元/平米·月,住宅                    ,延福花园,简装修
远洋公馆辛家庄-燕儿岛路23号,70,商品房,南北,43844元/平米,无,,4室3厅4卫,,333平米,住宅                    ,http://esf.qd.fang.com/chushou/18_210102557_12217938x2411660729_160322023.htm,中层,51.5%,1.88,远洋公馆 豪装四居带保姆间 市区平墅 永新公馆,7元/㎡·月,住宅                    ,远洋公馆,豪华装修
海悦中心东海路-东海中路18号,70年产权;,商品房,南北,36628元/平米,有,,3室2厅2卫,平层,169.27平米,住宅                    ,http://esf.qd.fang.com/chushou/18_200288930_11476168x2411012852_160172151.htm,高层,30%,5,海悦 精装套三 视野好 带大阳台 基隆路 满五年,0.80元/平米·月,住宅                    ,海悦中心,精装修
福林花园福州南路-大尧二路17号,70年产权;,个人产权,南北,29298元/平米,无,,2室1厅1卫,平层,88.06平米,住宅                    ,http://esf.qd.fang.com/chushou/18_209506622_11485604x2411633663_160565653.htm,中层,20%,1,福林花园 南北卧东明厅 全明户型 3楼 位置好 满五年,0.3元/平米·月,住宅                    ,福林花园,精装修
天虹花园青岛大学-市南区宁夏路329号,,商品房,南,30173元/平米,无,,2室2厅1卫,平层,91.14平米,住宅                    ,http://esf.qd.fang.com/chushou/18_209621040_12105971x2411597545_164580688.htm,高层,35%,4.6,双南卧 北厅 基隆路 小区内好位置,0.5元/平米·月,住宅                    ,天虹花园,简装修
"逍遥小区福州南路-大尧三路,逍遥二路周边区域",,商品房,南,30959元/平米,无,,2室1厅1卫,,73平米,住宅                    ,http://esf.qd.fang.com/chushou/18_212857482_12425917x2411714917_165312075.htm,高层,35%,1.2,逍遥小区(逍遥一路) 2室1厅 73平,0.2元/平米·月,住宅                    ,逍遥小区,精装修
天虹花园青岛大学-市南区宁夏路329号,,商品房,南北,28495元/平米,有,,3室2厅2卫,平层,93平米,住宅                    ,http://esf.qd.fang.com/chushou/18_210085319_11689352x2411597545_160512694.htm,中层,35%,4.6,有钥匙 套三 基隆路 价格 随时看房,0.5元/平米·月,住宅                    ,天虹花园,精装修
万丽海景湛山-东海西路1号,70年产权;,个人产权,南,45872元/平米,有,,4室2厅4卫,平层,327平米,住宅                    ,http://esf.qd.fang.com/chushou/18_207585873_11474972x2411162251_164331209.htm,中层,35%,4,"东海路9号旁,万丽海景,豪装四居,270度全海景,送双车位",7元/平米·月,住宅                    ,万丽海景,豪华装修
新贵都C区浮山所-徐州路15号-31号,70年产权;,商品房,南北,26190元/平米,无,,2室1厅1卫,,63平米,住宅                    ,http://esf.qd.fang.com/chushou/18_211884438_11496535x2411668629_165313960.htm,高层,40%,4,新贵都C区 满五年 南北通透 楼层好 生活便利 业主急售,1.2元/平米·月,住宅                    ,新贵都C区,精装修
鲁商首府奥帆中心-燕儿岛路7号,70年产权;,个人产权,南北,57839元/平米,无,,4室2厅2卫,,276.63平米,住宅                    ,http://esf.qd.fang.com/chushou/18_212610094_11496319x2411542583_164406074.htm,中层,30%,5.1,鲁商首府 高层套四南北通透 精装修,5.00元/平米·月,住宅                    ,鲁商首府,豪华装修
田家花园广电大厦-高田路66号,,商品房,南北,28749元/平米,无,,3室2厅1卫,平层,111.31平米,住宅                    ,http://esf.qd.fang.com/chushou/18_210833451_11269169x2411596263_164686155.htm,低层,35.3%,1.99,天泰桃园 田家花园黄楼 精装套三 南北通透 户型方正 公摊小,0.60元/平米·月,住宅                    ,田家花园,精装修
新贵都A区浮山所-徐州路53号,70年产权;,商品房,南,27941元/平米,无,,2室1厅1卫,,68平米,住宅                    ,http://esf.qd.fang.com/chushou/18_211436968_12327083x2411668625_165976997.htm,高层,40%,4.6,新贵都A区 套二 南北卧中厅 诚心出售 精装修,0.7元/平米·月,住宅                    ,新贵都A区,精装修
逍遥花园大尧-江西路106号,70年产权;,个人产权,东,27978元/平米,无,,3室1厅1卫,,89平米,住宅                    ,http://esf.qd.fang.com/chushou/18_212645221_11482416x2411656283_164453539.htm,高层,36%,1.6,新上逍遥花园 89平套三明厅 直降10万 全天采光,1.2元/平米·月,住宅                    ,逍遥花园,精装修
东海路9号东海路-东海西路15号乙,70,个人产权,南北,37543元/平米,有,,4室2厅2卫,平层,293平米,住宅                    ,http://esf.qd.fang.com/chushou/18_190720359_11963603x2411132903_165314008.htm,中层,25%,8.95,市南 东海路9号 精装海景房 带车位 电梯入户 全海景 低于开盘价,9元/平米·月,住宅                    ,东海路9号,豪华装修
福林花园福州南路-大尧二路17号,70年产权;,商品房,南北,31430元/平米,无,,3室1厅2卫,平层,111.36平米,住宅                    ,http://esf.qd.fang.com/chushou/18_212597206_11637773x2411633663_165980333.htm,低层,20%,1,福林花园套三厅双南一北好户型350万,0.3元/平米·月,住宅                    ,福林花园,中装修
福海景苑广电大厦-福州南路62号,,商品房,南北,33046元/平米,无,,2室1厅1卫,,99.86平米,住宅                    ,http://esf.qd.fang.com/chushou/18_211263811_12256925x2411627423_165494943.htm,高层,35%,1.98,"满五年,免个税双南卧,楼间距大采光充足带学户",0.5元/平米·月,住宅                    ,福海景苑,精装修
福林小区大尧-大尧二路17号,,商品房,南北,27927元/平米,无,,2室1厅1卫,,80.21平米,住宅                    ,http://esf.qd.fang.com/chushou/18_211402834_11493976x2411632347_165494796.htm,低层,40%,2,福林花园旁 福林小区 一楼带院子 南北通透套二 急售,0.4元/平米·月,住宅                    ,福林小区,精装修
银川美居天山-银川西路22号,70年产权;,个人产权,南北,34556元/平米,无,,2室2厅1卫,,98.39平米,住宅                    ,http://esf.qd.fang.com/chushou/18_209254570_11250203x2411210707_165183038.htm,低层,40%,1.6,天山 银川美居 98平二室二厅二楼精装修,0.8元/平米·月,住宅                    ,银川美居,精装修
闽江花园福州南路-漳州路110号,,商品房,南北,31681元/平米,无,,3室1厅1卫,,113平米,住宅                    ,http://esf.qd.fang.com/chushou/18_209801929_11965303x2411596303_165980643.htm,中层,30%,2,福州路闽江花园封闭小区把头套三户型好采光好少有在卖的户型,0.4元/平米·月,住宅                    ,闽江花园,中装修
鹏程花园辛家庄-燕儿岛路16号,,商品房,南北,18333元/平米,无,,2室2厅2卫,,120平米,住宅                    ,http://esf.qd.fang.com/chushou/18_212356704_11490764x2411657151_163698492.htm,中层,15%,3,鹏程花园 复式海景房 豪华装修 安静 全天采光 燕儿岛路书城,1.4元/平米·月,住宅                    ,鹏程花园,豪华装修
东海路9号东海路-东海西路15号乙,70,个人产权,东南,40134元/平米,有,,3室2厅2卫,平层,299平米,住宅                    ,http://esf.qd.fang.com/chushou/18_187561040_12300278x2411132903_165314008.htm,高层,25%,8.95,市南沿海住宅 东海路9号 海景豪宅带双车位 万丽海景管家,9元/平米·月,住宅                    ,东海路9号,豪华装修
电业公寓东海路-东海路55号,,商品房,南北,39159元/平米,无,,3室1厅1卫,,97.04平米,住宅                    ,http://esf.qd.fang.com/chushou/18_212352905_11728262x2411679825_163800005.htm,高层,30%,1.9,奥帆东海路电业局宿舍 多层带阁楼 户型方正看房方便,0.2元/平米·月,住宅                    ,电业公寓,精装修
银都花园青岛大学-青岛市市南区彰化路1号,,商品房,东,30120元/平米,无,,3室2厅2卫,,166平米,住宅                    ,http://esf.qd.fang.com/chushou/18_212770108_11485123x2411592427_164512732.htm,中层,62.3%,0.87,银都花园海景全明通透三居室采光视野好,1.2元/平米·月,住宅                    ,银都花园,简装修
锦绣华城二期二轻新村-延吉路119号,70,商品房,南,37977元/平米,无,,3室2厅2卫,平层,135.08平米,住宅                    ,http://esf.qd.fang.com/chushou/18_211054436_11269850x2411679403_165291308.htm,高层,46%,1.2,CBD万达延吉路山东路锦绣华城二期 元宝套三 多层电梯 退层洋,1.48元/平米·月,住宅                    ,锦绣华城二期,简装修
福林花园福州南路-大尧二路17号,70年产权;,个人产权,南北,30000元/平米,无,,2室2厅1卫,平层,95平米,住宅                    ,http://esf.qd.fang.com/chushou/18_209812134_11497402x2411633663_164584533.htm,中层,20%,1,"福林花园2000年房,位置安静采光正,精装修配套齐,性价比",0.3元/平米·月,住宅                    ,福林花园,精装修
颐和国际五四广场-香港中路10号,70年产权;,商品房,东南,18868元/平米,无,,1室1厅1卫,,106平米,住宅                    ,http://esf.qd.fang.com/chushou/18_208051049_11794365x2411596549_162196340.htm,中层,20%,5.5,颐和国际 精装套二厅 106平 200万 急售,6元/平米·月,住宅                    ,颐和国际,精装修
金湖小区八大湖-市南区如东路18号,,个人产权,东,29370元/平米,无,,2室1厅1卫,,69.8平米,住宅                    ,http://esf.qd.fang.com/chushou/18_212658242_11827895x2411658405_163569930.htm,低层,30%,2.34,急售 急售 急售 金湖小区 M3号线旁 多层3楼 送双阳台 采光棒,0.3元/平米·月,住宅                    ,金湖小区,中装修
柏丽澜庭奥帆中心-金湾路1号,,个人产权,南北,53763元/平米,有,,2室2厅2卫,平层,186平米,住宅                    ,http://esf.qd.fang.com/chushou/18_211717283_12317968x2411229183_162737330.htm,中层,65%,1.51,"柏丽澜庭,大客厅,可看海,精装未住带车位,奥帆燕岛鲁商金海",4.13元/平米·月,住宅                    ,柏丽澜庭,精装修
远洋新村八大湖-高邮湖路26号,,个人产权,南北,25376元/平米,无,,3室1厅1卫,平层,93平米,住宅                    ,http://esf.qd.fang.com/chushou/18_211885333_12223557x2411666867_160524683.htm,高层,35%,1.8,上南京路小/学 远洋新村 近大润发 地/铁口 低总价套三 安静,0.36元/平米·月,住宅                    ,远洋新村,简装修
香港花园大公馆辛家庄-漳州二路123号甲,70年产权;,商品房,南北,30168元/平米,有,,3室2厅2卫,,179平米,住宅                    ,http://esf.qd.fang.com/chushou/18_209915694_11480370x2411071078_164783902.htm,中层,35%,2.28,香港花园大公馆 新上把西头大套三 前排高层不挡光 精装修,1.5元/平米·月,住宅                    ,香港花园大公馆,精装修
瀛海帝景西镇-云南路277号,70年产权;,商品房,西北,29953元/平米,无,,2室1厅1卫,平层,93.48平米,住宅                    ,http://esf.qd.fang.com/chushou/18_202786000_11495352x2411160149_163634541.htm,低层,30%,4.33,瀛海帝景西户 南北通透 房间都有窗户,1.2元/平米·月,住宅                    ,瀛海帝景,简装修
市政公寓辛家庄-燕儿岛路28号,,商品房,南北,31003元/平米,无,,2室1厅1卫,,70.96平米,住宅                    ,http://esf.qd.fang.com/chushou/18_212801322_11490173x2411666551_165332649.htm,高层,35%,0.8,简单装修 南北通透 地脚好 采光好 安静不临街,暂无资料,住宅                    ,市政公寓,精装修
福林小区大尧-大尧二路17号,,个人产权,南北,26743元/平米,无,,3室2厅1卫,平层,117.79平米,住宅                    ,http://esf.qd.fang.com/chushou/18_212604940_11487972x2411632347_164640716.htm,中层,40%,2,"福林小区,三南卧北明厅套三,平地三楼,位置安静。",0.4元/平米·月,住宅                    ,福林小区,精装修
海信金色慧谷广电大厦-仙居路66号,,商品房,南北,27731元/平米,无,,3室2厅2卫,,119平米,住宅                    ,http://esf.qd.fang.com/chushou/18_210277369_12227533x2411092081_163799408.htm,低层,45%,1.8,"地处繁华,身居幽静 人车分.流 免双税 国际城名苑",1.5元/平米·月,住宅                    ,海信金色慧谷,精装修
金湖小区八大湖-市南区如东路18号,,个人产权,南北,25714元/平米,无,,2室1厅1卫,平层,70平米,住宅                    ,http://esf.qd.fang.com/chushou/18_212832181_11739092x2411658405_165809413.htm,高层,30%,2.34,浮东小区 精装套二满五年省个水 南京路江西路帝铁站,0.3元/平米·月,住宅                    ,金湖小区,精装修
田家花园广电大厦-高田路66号,,个人产权,南,25077元/平米,无,,2室1厅1卫,平层,65平米,住宅                    ,http://esf.qd.fang.com/chushou/18_209989867_11478379x2411596263_165919459.htm,中层,35.3%,1.99,田家花园 广电大厦 南北套二 楼层好,0.60元/平米·月,住宅                    ,田家花园,精装修
锦绣华城二轻新村-延吉路117号,70年产权;,商品房,南北,31325元/平米,无,,2室1厅1卫,,83平米,住宅                    ,http://esf.qd.fang.com/chushou/18_210624766_11489754x2411255663_165913431.htm,高层,41%,1.99,锦绣华城 精装修套二,1.48元/平米·月,住宅                    ,锦绣华城,精装修
天山小区天山-市南区宁国路33号,,个人产权,南北,25316元/平米,无,,2室2厅1卫,平层,79平米,住宅                    ,http://esf.qd.fang.com/chushou/18_212838301_11494575x2411596383_165049912.htm,中层,41%,1.1,新出天山小区大套二 南北通透户型 装修好直接入住 诚心出售,0.27元/平米·月,住宅                    ,天山小区,简装修
颐中高山天山-旌德路26号,70年产权;,商品房,南北,32000元/平米,无,,3室2厅2卫,平层,150平米,住宅                    ,http://esf.qd.fang.com/chushou/18_210218596_12221433x2411097380_164781931.htm,高层,40.2%,1.29,"颐中高山,经典套三,视野开阔,双南卧,双卫,精装,价格可议",1.4元/平米·月,住宅                    ,颐中高山,精装修
颐和国际五四广场-香港中路10号,70年产权;,个人产权,西南,19266元/平米,有,,1室1厅1卫,平层,109平米,住宅                    ,http://esf.qd.fang.com/chushou/18_212456977_11794369x2411596549_163630593.htm,中层,20%,5.5,"颐和国际封闭住宅小区,电梯打卡素质住户配套齐全,看房方便",6元/平米·月,住宅                    ,颐和国际,精装修
弘信山庄天山-宁夏路274号,,个人产权,南北,28690元/平米,无,,2室2厅1卫,平层,72.5平米,住宅                    ,http://esf.qd.fang.com/chushou/18_210905448_11475272x2411591105_165493900.htm,中层,40%,1.6,宁夏路 大尧 弘信山庄小区 套二厅 多层三楼采光好 看房随时,0.8元/平米·月,住宅                    ,弘信山庄,精装修
青岛太平洋中心五四广场-东海西路35号,70年产权;,商品房,南北,31840元/平米,无,,3室2厅2卫,平层,125平米,住宅                    ,http://esf.qd.fang.com/chushou/18_194547154_11692756x2411012857_164080839.htm,低层,30%,3.1,太平洋新出婚装套三全明户型带储藏室五四广场,1.8元/平米·月,住宅                    ,青岛太平洋中心,豪华装修
金孚大厦巴黎春天-山东路22号,70年产权;,商品房,南,22060元/平米,无,,3室1厅1卫,,135.99平米,住宅                    ,http://esf.qd.fang.com/chushou/18_210639509_12197551x2411632623_165953415.htm,低层,25%,2.6,金孚大厦 3室1厅 135平,暂无资料,住宅                    ,金孚大厦,精装修
滨海花园五四广场-东海西路33号,70年产权;,个人产权,南,24000元/平米,有,,3室2厅2卫,开间,130平米,住宅                    ,http://esf.qd.fang.com/chushou/18_212734838_11490249x2411012849_165494184.htm,中层,30%,2.3,五四广场 滨海花园 精装海景套三 交通便利 配套齐全,1.4元/平米·月,住宅                    ,滨海花园,中装修
海悦中心东海路-东海中路18号,70年产权;,商品房,南,34054元/平米,有,,3室2厅2卫,平层,185平米,住宅                    ,http://esf.qd.fang.com/chushou/18_208471084_11256327x2411012852_165941520.htm,低层,30%,5,东部市立医院 海悦 实际230平客厅 敞亮大户型,0.80元/平米·月,住宅                    ,海悦中心,简装修
琴岛山庄大学路-兴安支路7号,,商品房,南,43353元/平米,无,,2室2厅2卫,平层,103.8平米,住宅                    ,http://esf.qd.fang.com/chushou/18_212690345_11487547x2411668605_163532717.htm,低层,35%,1.8,"琴岛山庄双学,套二双厅,带大院子,不潮湿",0.8元/平米·月,住宅                    ,琴岛山庄,简装修
东海路9号东海路-东海西路15号乙,70,商品房,南,38405元/平米,无,,5室2厅1卫,平层,312.46平米,住宅                    ,http://esf.qd.fang.com/chushou/18_212841115_12191921x2411132903_163632023.htm,低层,25%,8.95,东海路9号 精装 五房两厅 1200万带车位,9元/平米·月,住宅                    ,东海路9号,精装修
远洋花园福州南路-闽江路157号,,个人产权,南北,27780元/平米,无,,3室1厅1卫,平层,107.63平米,住宅                    ,http://esf.qd.fang.com/chushou/18_209596006_11238435x2411668493_165155178.htm,高层,20%,1.5,"远洋花园奇缺套三,视野采光好,配套完善看房方便燕儿岛",4元/平米·月,住宅                    ,远洋花园,中装修
银禧苑二轻新村-山东路42号,70年产权;,商品房,南,20321元/平米,有,,2室1厅1卫,平层,88.58平米,住宅                    ,http://esf.qd.fang.com/chushou/18_210101506_11480841x2411591263_160501455.htm,高层,30%,2,镇江路xue区 南向套二 精装税有钥匙,1.6元/平米·月,住宅                    ,银禧苑,精装修
鲁商首府奥帆中心-燕儿岛路7号,70年产权;,个人产权,南北,47401元/平米,有,,3室2厅3卫,平层,179.32平米,住宅                    ,http://esf.qd.fang.com/chushou/18_199143241_11727593x2411542583_164284059.htm,高层,30%,5.1,小司力荐 套三 把东头 179平 800万,5.00元/平米·月,住宅                    ,鲁商首府,豪华装修
