小区名称,居室数量,建筑面积,网址,价格,市/县,行政区,地址,经度,纬度
国信雍翠湾 ,2居|3居,,http://yongcuiwangx.fang.com/,价格待定,青岛市,即墨,即墨文化路与泰山二路交汇处,120.487247,36.380255
中交中央公元 ,2居|3居,,http://zhongyanggongyuanzj.fang.com/,价格待定,青岛市,即墨,即墨文化路180号（即墨一中东50米）,120.462039,36.381059
中建锦绣城 ,2居|3居|4居|5居,,http://jiuxiuchengzj.fang.com/,价格待定,青岛市,黄岛,黄岛灵山湾路与凤凰山路交汇处（原胶南六中西侧）,120.030741,35.881167
鑫江玫瑰园 ,2居|3居,115~118平米,http://meiguiyuanxj.fang.com/,13000元/㎡,青岛市,城阳,城阳银河路666号（沿黑龙江路东行800米）,120.423972,36.273554
新城玺樾 ,3居|4居,95~170平米,http://jiaozhoushaohaixc.fang.com/,价格待定,青岛市,胶州,胶州市少海北路18号,120.103503,36.276219
保利叁仟栋 ,保利叁仟栋预计2018年5.6月份开盘,,http://sanqiandongbl.fang.com/,价格待定,青岛市,胶州,胶州市少海北路,120.103503,36.276219
卫城·花好月圆 ,2居|3居,73~115平米,http://huahaoyueyuanwc.fang.com/,13500元/㎡,青岛市,黄岛,黄岛青岛黄岛区灵海路229号路,120.122126,35.927013
保利观堂 ,3居|4居,,http://baoliguantang0532.fang.com/,价格待定,青岛市,城阳,城阳S209省道东郭庄环城路小学西侧,120.41718,36.339015
中南·漫悦湾 ,3居,93~113平米,http://manyuewanzn0532.fang.com/,价格待定,青岛市,黄岛,黄岛前湾港路267号（开拓路与前湾港路交叉口）,120.153167,36.004407
永新公馆 ,3居|4居,224~313平米,http://yongxingongguan.fang.com/,价格待定,青岛市,市南,市南清远路9号,120.392304,36.060791
水发润城汀园 ,水发润城汀园现房源售罄后期加推预计4月份开盘,,http://tingyuansfrc.fang.com/,价格待定,青岛市,即墨,即墨通济街道办事处城马路66号,120.373853,36.327992
旭辉银盛泰星悦城 ,银盛泰星悦城项目前期推出房源已剩不多,,http://xingyuechengxhyst.fang.com/,价格待定,青岛市,黄岛,黄岛珠山南路与204国道交汇处,120.003557,35.851283
红星·天铂 ,3居|4居,114~172平米,http://hongxingtianbo0532.fang.com/,12500元/㎡,青岛市,黄岛,黄岛西海岸路与易通路交汇处,120.036681,35.870923
万达·东方影都 ,1居|2居|3居|4居,40~144平米,http://dongfangyingduwdqd.fang.com/,14000元/㎡,青岛市,黄岛,黄岛滨海大道1777号,120.111305,35.910519
金域府邸 ,1居|2居|3居,62~124平米,http://jinyufudi.fang.com/,25000元/㎡,青岛市,市北,市北金华路56号、60号（青岛葡萄酒厂对面）,120.36409,36.12598
颐惠园 ,2居|3居|4居,140~237平米,http://yihuiyuan0532.fang.com/,50000元/㎡,青岛市,崂山,崂山海尔路与苗岭路交汇处,120.459587,36.098772
福瀛天麓湖·瑞府 ,1居|2居|3居|4居,139~157平米,http://tianluhufy.fang.com/,24600元/㎡,青岛市,黄岛,黄岛长江路韶山路568号（韶山路与东江路交汇处）,120.212308,35.962761
华润中心悦府 ,1居|2居|3居|4居,110~230平米,http://yuefuhrzx.fang.com/,38000元/㎡,青岛市,市南,市南山东路8号（青岛市政府西侧）,120.378769,36.067129
星雨华府 ,1居|2居|3居|4居|5居|5居以上,78~94平米,http://xingyuhuafu0532.fang.com/,7000元/㎡,青岛市,城阳,城阳和源路216号,120.32659,36.279925
三盛国际海岸 ,2居|3居|4居|5居|5居以上,84~389平米,http://guojihaianssh.fang.com/,21000元/㎡,青岛市,即墨,即墨岭海西路36号(国际博览中心北)。,120.70927,36.44001
鲁德海德堡 ,3居|4居|5居,176~350平米,http://ludehaidebao.fang.com/,43000元/㎡,青岛市,崂山,崂山松岭路66号（香港东路，石老人旁）,120.480637,36.109576
金秋泰和郡 ,1居|2居|3居|4居|5居,87~124平米,http://taihejunjq0532.fang.com/,14000元/㎡,青岛市,城阳,城阳玉虹路16号（云头崮社区）,120.440811,36.217534
蓝城·春风里 ,1居|2居|3居,93~113平米,http://chunfenglilc.fang.com/,23000元/㎡,青岛市,李沧,李沧与邢台路交汇处（文昌阁公园以北）,120.415485,36.20538
金隅和府 ,2居|3居|4居,87~139平米,http://jinyuhefu.fang.com/,27000元/㎡,青岛市,市北,市北镇江路12号（延吉路与镇江路交会处）,120.36693,36.086699
海尔地产世纪公馆 ,2居|3居|4居,125平米,http://shijigongguanhe.fang.com/,25000元/㎡,青岛市,市北,市北合肥路与蚌埠路交汇处,120.390874,36.119614
中欧国际城 ,1居|2居|3居|4居|5居,44~143平米,http://zhongouguojicheng.fang.com/,10000元/㎡,青岛市,城阳,城阳火炬路57号（火炬路和祥源路交汇）,120.302399,36.263983
万科魅力新城 ,2居|3居,125~140平米,http://meilixinchengwk.fang.com/,22000元/㎡,青岛市,城阳,城阳吉阳路297号（世纪公园东）,120.402403,36.284448
山川融园 ,4居|5居,269~390平米,http://shanchuanrongyuan.fang.com/,价格待定,青岛市,黄岛,黄岛山川路1号,120.017996,35.77708
万科朗润园 ,2居|3居,,http://langrunyuanwk0532.fang.com/,12000元/㎡,青岛市,即墨,即墨埠惜路与辽河一路交汇处（实验高中北）,120.512807,36.412809
银盛泰书香嘉苑 ,2居|3居,128平米,http://shuxiangjiayuanyst.fang.com/,16000元/㎡,青岛市,城阳,城阳硕阳路77号,120.439734,36.328746
绿城岘山花城 ,3居|4居,130~206平米,http://xianshanhuachenglc.fang.com/,12000元/㎡,青岛市,即墨,即墨长江二路188号,120.393447,36.374769
万科·如园 ,2居|3居|4居,109~135平米,http://wankeruyuan0532.fang.com/,24000元/㎡,青岛市,李沧,李沧东川路与金水路交汇处,120.483773,36.178732
建邦听海墅 ,4居,323平米,http://tinghaishujb.fang.com/,30000元/㎡,青岛市,黄岛,黄岛黄岛区东岳东路888号（灵山卫公交枢纽对面）,120.124439,35.920979
海信盟旺世家 ,3居|4居,132平米,http://mengwangshijiahx.fang.com/,10000元/㎡,青岛市,即墨,即墨长广路与盟旺路交界处,120.439517,36.852638
海尔地产·云玺 ,3居|4居,142平米,http://yunxihe.fang.com/,34000元/㎡,青岛市,崂山,崂山青岛市崂山区海尔路1号,120.427842,36.13637
中海御湖 ,3居|4居,108~142平米,http://zhonghaiyuhu.fang.com/,14000元/㎡,青岛市,胶州,胶州市少海新城少海南路3号,120.083079,36.250497
利盛达御景苑 ,2居|3居,86~90平米,http://yujingyuanlsd.fang.com/,5900元/㎡,青岛市,胶州,胶州市胶莱镇中心路68号,120.071024,36.442726
康大观山樾 ,3居|4居,113~143平米,http://guanshanyuekd.fang.com/,20000元/㎡,青岛市,黄岛,黄岛小珠山古月山庄旁,120.113448,35.956232
鲁昊·棠琳湾 ,3居|4居|5居,98~146平米,http://tanglinwanluhao.fang.com/,18000元/㎡,青岛市,城阳,城阳青岛市城阳区白沙河南、环胶州湾高速北、白沙河入海口,120.359457,36.239924
万德麒麟公馆 ,3居|4居,104~127平米,http://qilingongguanwd.fang.com/,15000元/㎡,青岛市,黄岛,黄岛圣元路与月牙河路交汇处,120.017151,35.840229
莱茵公馆 ,3居|4居,140~165平米,http://laiyingongguan.fang.com/,13000元/㎡,青岛市,黄岛,黄岛团结路北侧、昆仑山路东侧（中德生态园内）,120.146764,35.978064
鲁能公馆 ,3居|4居,139~156平米,http://lunenggongguan0532.fang.com/,16000元/㎡,青岛市,即墨,即墨市民大厅西500米（盟旺路以北）,120.441012,36.391892
保利天汇 ,3居,111~175平米,http://baolitianhui0532.fang.com/,26500元/㎡,青岛市,市北,市北宁乡路以东、长沙路以南、台柳路以西,120.396957,36.125434
花伴里二期 ,3居,96~120平米,http://huabanlihx0532.fang.com/,19600元/㎡,青岛市,黄岛,黄岛嘉陵江东路257号,120.232005,35.963942
天峰首府 ,3居,108~125平米,http://tianfengshoufu.fang.com/,14000元/㎡,青岛市,城阳,城阳城阳区正阳东路与王沙路交汇处南300米,120.475771,36.30381
欧美榭香里 ,2居|3居,89~136平米,http://oumeixiexiangli.fang.com/,价格待定,青岛市,黄岛,黄岛广州路177号（墨香路西侧）,120.049038,35.900004
世茂公园美地 ,1居|2居|3居|4居,92~180平米,http://gongyuanmeidism.fang.com/,价格待定,青岛市,城阳,城阳华贯路603号、666号（祥茂河湿地公园东）,120.297001,36.281046
中交阳光屿岸 ,2居|3居,,http://720935.fang.com/,价格待定,青岛市,城阳,城阳夏庄白沙河流域银河路360号（成康路与银河路交界处以东）,120.445043,36.280651
融创都会中心 ,1居|2居|3居|4居|5居|5居以上,105~163平米,http://dongfanglongyujkc.fang.com/,价格待定,青岛市,李沧,李沧黑龙江中路与富锦路交汇处东100米,120.431069,36.189242
春阳丽景 ,2居|3居,82~89平米,http://huaqiaoxingfuli.fang.com/,价格待定,青岛市,即墨,即墨黑龙江路与春阳路交叉口西约50米,120.390471,36.314875
鲁商泰晤士小镇 ,2居|3居,83~102平米,http://taiwushixiaozhenls.fang.com/,价格待定,青岛市,城阳,城阳城阳区正阳东路与百福路交汇处,120.490629,36.304619
金科阳光美镇 ,3居|5居以上,,http://yangguangmeizhenjk.fang.com/,价格待定,青岛市,城阳,城阳正阳西路与双拥路交汇口（海都生态园西侧）,120.265648,36.288494
绿地海月湾 ,3居,100~144平米,http://haiyuewanld.fang.com/,价格待定,青岛市,城阳,城阳聚贤桥路55号,120.270072,36.265876
海达如意金岸 ,2居|3居|4居,115~162平米,http://ruyijinanhd.fang.com/,价格待定,青岛市,胶州,胶州市经济技术开发区尚德大道与黄河路交汇处,120.083231,36.17644
万科金域华府 ,3居,95~140平米,http://jinyuhuafuwk0532.fang.com/,价格待定,青岛市,城阳,城阳正阳路、国学公园北,120.442423,36.306045
海信君逸 ,2居|3居|4居,143~199平米,http://haixinjunyi.fang.com/,50000元/㎡,青岛市,崂山,崂山海游路1号,120.434866,36.070763
海信积米湾 ,3居,120~136平米,http://jimiwanhx.fang.com/,价格待定,青岛市,黄岛,黄岛积米崖港区西侧,120.16276,35.925035
康大叶语东山 ,3居|4居,,http://yeyudongshankd.fang.com/,价格待定,青岛市,黄岛,黄岛长江西路与海尔大道交汇处,120.15551,35.93947
水岸华庭 ,2居|3居,90~134平米,http://shuianhuating0532.fang.com/,7500元/㎡,青岛市,胶州,胶州市胶祥路88号,120.097904,36.304385
剑桥小镇 ,3居,91~129平米,http://jianqiaoxiaozhen0532.fang.com/,价格待定,青岛市,黄岛,黄岛墨香路717号（黄岛一中北）,120.051203,35.903972
三木·家天下·文澜府 ,2居|3居|4居,95~130平米,http://jiatianxiasm.fang.com/,价格待定,青岛市,胶州,胶州市经济开发区双积公路与辽河路交汇,120.094535,36.180982
青铁华润城 ,3居|4居,99~160平米,http://huarunchengqd.fang.com/,价格待定,青岛市,崂山,崂山辽阳东路与深圳路交汇处,120.449591,36.117083
海尔地产珺玺 ,海尔地产珺玺前期房源已售罄,,http://junxihedc.fang.com/,价格待定,青岛市,城阳,城阳火炬路与新悦路交汇处,120.25721,36.245975
海信珠山小镇 ,2居|3居|4居,85~120平米,http://zhushanxiaozhenhx.fang.com/,价格待定,青岛市,黄岛,黄岛山东科技大学北门西300米，渭河路与洞庭山路交汇处,120.121011,36.001862
天一赫廷 ,3居|4居,,http://tianyiheting.fang.com/,价格待定,青岛市,黄岛,黄岛三沙路与映山红路交汇处（港湾学院西侧）,120.022786,35.811067
绿地望海领御 ,3居|4居,100~195平米,http://wanghailingyuld.fang.com/,18500元/㎡,青岛市,黄岛,黄岛滨海大道嘉陵江路与滨海大道交汇处往东500米,120.257604,35.974113
华融蓝海洋观海 ,2居|3居,86~122平米,http://lanhaiyangguanhaihr.fang.com/,价格待定,青岛市,黄岛,黄岛长江东路以南，滨海大道以北,120.158713,35.93031
瑜公馆 ,瑜公馆价格待定,,http://newhouse.qd.fang.com/house/2411121731.htm,价格待定,青岛市,黄岛,黄岛平江路与峨眉山路交汇处西200米，光谷软件园南门对面,120.160122,35.950956
永合萃英花园 ,2居|3居,82~108平米,http://cuiyinghuayuanyh.fang.com/,价格待定,青岛市,即墨,即墨天山一路与长江二路交叉口（南行200米）,120.392922,36.374765
银盛泰·博观星海 ,银盛泰·博观星海均价为：12000元/平方米,,http://boguanxinghaiyst.fang.com/,12000元/㎡,青岛市,黄岛,黄岛灵山湾路与东岳中路交会处,120.057643,35.892199
天泰桃花源 ,天泰桃花源一期预计5月份开盘具体时间待定,,http://taohuayuantt.fang.com/,价格待定,青岛市,即墨,即墨麒麟路68号,120.661142,36.460437
兴源巴黎城 ,2居|3居,112~134平米,http://balichengxy.fang.com/,价格待定,青岛市,胶州,胶州市温州路、扬州支路、龙州路交汇处,120.032974,36.281291
绿城紫薇广场 ,1居|2居|3居|4居,85平米,http://ziweiguangchang.fang.com/,,青岛市,胶州,胶州市北京东路299号（福州南路以东、温州路以西、云溪河以南）,120.038134,36.265641
汀town ,汀town商铺户型建面15-50㎡,,http://tingtown.fang.com/,30000元/㎡,青岛市,市南,市南香港中路93号,120.409247,36.066655
爱家公寓 ,1居,28平米,http://aijiagongyu0532.fang.com/,20000元/㎡,青岛市,市北,市北徐州路180号。,120.378587,36.080702
南山海悦 ,1居,57~103平米,http://nanshanlanyu.fang.com/,15500元/㎡,青岛市,即墨,即墨凤岛路与滨海大道交汇处,120.717473,36.420594
天和美寓 ,1居|2居,70~87平米,http://tianhemeiyu.fang.com/,14000元/㎡,青岛市,黄岛,黄岛长江西路灵山卫派出所向北50米,120.151472,35.932732
国家（青岛）通信产业园利群项目 ,国家（青岛）通信产业园利群项目开盘时间和价格待定,,http://gjqdtxcyylq.fang.com/,价格待定,青岛市,崂山,崂山株洲路以南、软件园二路以北（滨海大道旁）。,120.444881,36.137128
海信创业中心 ,海信创业中心推出户型92平写字楼,,http://chuangyezhongxinhx.fang.com/,3.8元/平方米.天,青岛市,市南,市南山东路17号（市南法院对面）,120.377395,36.076606
梦时代8号 ,梦时代8号在售价格为：14500元/平方米,,http://mengshidai.fang.com/,14500元/㎡,青岛市,黄岛,黄岛滨海大道8号,120.04996,35.875681
山钢东部新天地 ,山钢东部新天地预计2018年春节后开盘,,http://dongbuxintiandisg.fang.com/,价格待定,青岛市,崂山,崂山辽阳东路与同安路交汇处,120.462744,36.122571
同安路九号 ,同安图九号预计4月推出商墅,,http://tonganlu9hao.fang.com/,价格待定,青岛市,市北,市北市北区福州路与同安路交汇处北50米（山东留学生大厦旁）,120.399607,36.094171
100福国际山庄碧桂湾 ,4居,,http://biguiwan.fang.com/villa/,12000元/㎡,青岛市,城阳,城阳惜福镇铁骑山路6号(正阳路与铁骑山路交汇处附近),120.525772,36.314756
金石·东方至尊 ,1居|2居|3居|4居|5居,68~181平米,http://dongfangzhizun.fang.com/,15000元/㎡,青岛市,黄岛,黄岛西海岸滨海大道1201号（新黄岛区政府东侧）,120.05017,35.872609
依泉美庐 ,5居以上,363~550平米,http://yiquanmeilu.fang.com/villa/,23000元/㎡,青岛市,即墨,即墨海泉路66号（天泰蓝泉斜对面）。,120.662146,36.437021
丽晶御筑 ,1居,41~84平米,http://xianggangzhidi.fang.com/,35000元/㎡,青岛市,市南,市南香港中路93号（丽晶大酒店对面）,120.409247,36.066655
翡翠城 ,1居|2居|3居|4居|5居|5居以上,46~257平米,http://feicuicheng0532.fang.com/,5500元/㎡,青岛市,莱西,莱西市烟台路153号（烟台路与济南中路交汇处）,120.520801,36.894299
福麟三栋 ,2居|3居,87平米,http://fulinhaijingliyuan.fang.com/,13500元/㎡,青岛市,黄岛,黄岛海西东十七路17号(西海岸两个卫星城开发区与胶南交界处),120.12196,35.921623
恒大金沙滩 ,1居|3居|4居,28平米,http://jinshatanhd.fang.com/,18600元/㎡,青岛市,黄岛,黄岛罗浮山路228号(滨海大道南),120.215843,35.95078
青岛印象金沙滩 ,1居|2居|3居|4居|5居以上,75平米,http://jinshatanqdyx.fang.com/,价格待定,青岛市,黄岛,黄岛嘉陵江东路1号（凤凰岛金沙滩对面）,120.237716,35.958553
奥润澜庭 ,2居|3居,126平米,http://xinhaiguojichengar.fang.com/,16000元/㎡,青岛市,黄岛,黄岛黄岛滨海大道2703号（青岛国际游艇会展中心斜对面）,120.07552,35.889206
青岛印象·湾 ,2居|3居,72~115平米,http://yinxiangwanqd.fang.com/,17000元/㎡,青岛市,李沧,李沧文昌路697号（十梅庵风景区旁）,120.417547,36.21755
青啤颐山源墅 ,3居|4居,,http://yishanyuanshu.fang.com/,60000元/㎡,青岛市,崂山,崂山青大三路九号（亚麦山城东南侧）,120.436756,36.076832
绿城深蓝中心 ,3居|5居,260~460平米,http://shenlanzhongxin.fang.com/,85000元/㎡,青岛市,市南,市南香港西路南、东海二路东（延安三路与香港中路交汇处）,120.371624,36.058961
天一仁和之城 ,2居|3居|4居,83~237平米,http://aiweila.fang.com/villa/,11000元/㎡,青岛市,胶州,胶州市温州路1778号（新城区青年水库南岸，国际社区内）,120.050966,36.234177
明德小镇 ,1居|2居|3居|4居|5居|5居以上,38~458平米,http://mingdexiaozhen.fang.com/,价格待定,青岛市,城阳,城阳王沙路155号,120.455542,36.25549
中国铁建岸芷汀兰 ,2居|3居,80~134平米,http://anzhitinglanzgtj.fang.com/,价格待定,青岛市,莱西,莱西市烟台南路115号（烟台南路与青岛南路交汇处）,120.526853,36.843957
万德德盛苑 ,1居|2居|3居,88~130平米,http://deshengyuanwd.fang.com/,9200元/㎡,青岛市,黄岛,黄岛珠山南路11号（珠山南路西侧）,119.983533,35.834683
海尔地产原乡小镇 ,3居|4居|5居|5居以上,229~311平米,http://yuanxiangshuhe.fang.com/villa/,16000元/㎡,青岛市,即墨,即墨温泉一路399号（温泉一路与大田路交汇处）,120.63288,36.436073
长水山庄 ,3居|4居|5居|5居以上,234~338平米,http://changshuishanzhuang.fang.com/villa/,16000元/㎡,青岛市,城阳,城阳惜福镇王沙路1616号,120.56788,36.324192
阳光公园1号 ,1居|2居|3居|4居,29平米,http://gongyuan1haoyg.fang.com/,11500元/㎡,青岛市,城阳,城阳308国道与长城路交汇处,120.363013,36.282432
融城 ,2居|3居|4居,92~143平米,http://rongcheng0532.fang.com/,9000元/㎡,青岛市,胶州,胶州市兰州西路与杭州路交汇处西北角,120.001068,36.284725
100福国际山庄锦枫园 ,5居,468平米,http://jinfengyuan0532.fang.com/,12000元/㎡,青岛市,城阳,城阳铁骑山路10号（惜福镇附近）,120.528445,36.310274
湖尚一品 ,2居|3居|4居,129~234平米,http://hushangyipin.fang.com/,9000元/㎡,青岛市,胶州,胶州市兰州东路572号,120.035118,36.287044
品烁·华年 ,1居|2居|3居,131平米,http://pinshuohuanian.fang.com/,5000元/㎡,青岛市,莱西,莱西市姜山新城海星南路26号（海星路与泰光路交汇处）,120.58237,36.6616
伟信新城市花园 ,2居|3居,95~134平米,http://xinchengshihuayuanwx.fang.com/,价格待定,青岛市,平度,平度市广州南路18号(世纪商贸城东500米),119.998726,36.746201
裕龙润邦 ,2居|3居,87~136平米,http://yulongrunbang20532.fang.com/,6500元/㎡,青岛市,平度,平度市杭州南路199号（杭州路与三城路交汇处）,119.968946,36.757881
佳源都市 ,2居|3居|4居,,http://jiayuandushi0532.fang.com/,11000元/㎡,青岛市,即墨,即墨嵩山三路7号(即墨二十八中西侧),120.41641,36.380211
海信依云谷 ,2居|3居|4居,425~437平米,http://yiyunguhx.fang.com/,25000元/㎡,青岛市,城阳,城阳夏庄王沙路1号云头崮,120.446098,36.21358
碧桂园滨海城 ,1居|2居|3居|4居,48~90平米,http://shilijintanbgy.fang.com/,7500元/㎡,青岛市,烟台,烟台海阳海滨西路1111号（十里金沙海岸西侧）,120.225373,35.953905
安纳溪VILLA ,1居|2居|3居|4居|5居,115~234平米,http://annaxivilla.fang.com/,16500元/㎡,青岛市,即墨,即墨温泉镇中央别墅区（麒麟路与社生路交汇处）,120.67544,36.471291
中海森林湖 ,3居|4居|5居以上,220~730平米,http://zhonghaisenlinhu.fang.com/,10000万元/套,青岛市,胶州,胶州市少海南路3号,120.08481,36.230924
伟东湖山美地·书香郡 ,1居|2居|3居|4居,115平米,http://shuxiangjunwdhsmd.fang.com/,23000元/㎡,青岛市,李沧,李沧黑龙江中路482号,120.426193,36.185943
优山美墅 ,1居|2居|3居|4居|5居,292~901平米,http://youshanmeishu0532.fang.com/,26000元/㎡,青岛市,崂山,崂山天水路2号（金水路北侧）,120.515526,36.193185
青岛达观天下 ,2居|3居,63~96平米,http://daguantianxiaqd.fang.com/,11000元/㎡,青岛市,胶州,胶州市创新大道以东、湘江路5号,120.097726,36.15111
高山华府 ,1居|2居|3居,55~91平米,http://gaoshanhuafu.fang.com/,5600元/㎡,青岛市,胶州,胶州市洋河镇夼苑路1号（王台镇北，204国道西，夼苑路北侧）,119.9126,36.13829
宝太花园 ,2居|3居,88~110平米,http://baotaihuayuan0532.fang.com/,9250元/㎡,青岛市,即墨,即墨204国道即墨段121号,120.492029,36.335446
海信君汇 ,5居以上,570~770平米,http://haixinjunhui.fang.com/,100000元/㎡,青岛市,崂山,崂山东海东路3号（东海东路与海游路交叉口）,120.434218,36.068141
琅琊首府 ,2居|3居,83平米,http://langyashoufu.fang.com/,6200元/㎡,青岛市,黄岛,黄岛琅琊镇海城路22号,119.8625,35.688169
正北蔚蓝半岛 ,2居|3居,102~126平米,http://weilanbandaozb.fang.com/,11000元/㎡,青岛市,胶州,胶州市新城区福州南路77号,120.025329,36.276392
少海金都公馆 ,2居|3居|4居,89~213平米,http://jindugongguansh.fang.com/,9500元/㎡,青岛市,胶州,胶州市少海新城正阳路与少海南路交汇处（中信酒店对面）,120.092507,36.25534
隆海东方华庭 ,1居|2居|3居,94平米,http://dongfanghuatinglh.fang.com/,15000元/㎡,青岛市,黄岛,黄岛海港路7号（滨海大道与海港路交界处）,120.131663,35.922684
海逸天成 ,1居|2居|3居|4居,81~354平米,http://haiyitiancheng0532.fang.com/,46000元/㎡,青岛市,市南,市南东海西路29号（樱花园对面）,120.379447,36.06114
海泉湾港中旅公馆 ,2居|3居|4居|5居以上,86~506平米,http://gangzhonglvgongguanhqw.fang.com/,19000元/㎡,青岛市,即墨,即墨鳌山卫镇泉海路1号,120.692031,36.400437
智慧之城 ,2居|3居,82~160平米,http://zhihuizhicheng.fang.com/,12600元/㎡,青岛市,城阳,城阳惜福镇王沙路1400号（王沙路北、惜福路以西）,120.511099,36.317121
金沙滩壹号 ,1居|2居|3居|4居|5居|5居以上,53~263平米,http://jinshatanyihao.fang.com/,20000元/㎡,青岛市,黄岛,黄岛石雀滩路九号（石雀滩路与天目山路交汇处）,120.229572,35.954263
天泰·蓝郡 ,4居|5居以上,280~660平米,http://guosetianxiangkd.fang.com/,18000元/㎡,青岛市,即墨,即墨麒麟路68号（温泉镇驻地北、新兴街东侧）。,120.661142,36.460437
鲁商蓝岸丽舍 ,1居|2居|3居|5居,30~146平米,http://lananlishels.fang.com/,38000元/㎡,青岛市,崂山,崂山松岭路88号（青岛二中北）,120.486081,36.117895
城市阳光花园 ,2居|3居,110~113平米,http://chengshiyangguanghuayuan.fang.com/,14000元/㎡,青岛市,城阳,城阳流亭街道洼里社区旁,120.416805,36.270848
恒大悦珑台 ,2居|3居|4居|5居|5居以上,123~454平米,http://yuelongtaihd0532.fang.com/,13000元/㎡,青岛市,即墨,即墨麒麟路88号(麒麟东路和麒麟路交汇处附近）,120.66877,36.461438
中铁青岛中心8号 ,1居|2居|3居|4居,130~257平米,http://qingdaozhongxinzt.fang.com/,28000元/㎡,青岛市,市南,市南香港中路8号（山东路和香港中路交界处）,120.379829,36.063816
奥润熙湖华府 ,1居|3居|4居|5居,66~398平米,http://xihuhuafuar.fang.com/,5000元/㎡,青岛市,莱西,莱西市龙水路66号（莱西湖南岸）。,120.539288,36.869937
融创青岛湾海墅 ,5居|5居以上,422~705平米,http://linghaiyishu.fang.com/villa/,21500元/㎡,青岛市,即墨,即墨滨海大道188号（温泉镇滨海大道与嶺海路交汇处）,120.699267,36.399983
万福馨苑 ,2居|3居,101平米,http://wanfuxinyuan.fang.com/,7000元/㎡,青岛市,莱西,莱西市烟台路136号（长岛路与济南路交汇处）,120.515166,36.894859
逸景湾 ,1居|3居|4居|5居,280平米,http://yijingwan0532.fang.com/,价格待定,青岛市,黄岛,黄岛东港路6号（滨海大道与东港路交汇处）,120.163916,35.926775
