,IP,,,PORT,,TYPE,Æ´½Ó
{'ip_port': ',110.88.247.187,,:,22051,"', 'user_pass': ''},",HTTPS,"{'ip_port': '110.88.247.187:22051', 'user_pass': ''},"
{'ip_port': ',27.40.149.220,,:,61234,"', 'user_pass': ''},",HTTPS,"{'ip_port': '27.40.149.220:61234', 'user_pass': ''},"
{'ip_port': ',120.33.247.132,,:,46938,"', 'user_pass': ''},",HTTPS,"{'ip_port': '120.33.247.132:46938', 'user_pass': ''},"
{'ip_port': ',115.196.186.108,,:,8118,"', 'user_pass': ''},",HTTPS,"{'ip_port': '115.196.186.108:8118', 'user_pass': ''},"
{'ip_port': ',111.155.116.247,,:,8123,"', 'user_pass': ''},",HTTP,"{'ip_port': '111.155.116.247:8123', 'user_pass': ''},"
{'ip_port': ',113.120.60.203,,:,32301,"', 'user_pass': ''},",HTTPS,"{'ip_port': '113.120.60.203:32301', 'user_pass': ''},"
{'ip_port': ',59.32.37.244,,:,3128,"', 'user_pass': ''},",HTTPS,"{'ip_port': '59.32.37.244:3128', 'user_pass': ''},"
{'ip_port': ',171.39.42.191,,:,8123,"', 'user_pass': ''},",HTTP,"{'ip_port': '171.39.42.191:8123', 'user_pass': ''},"
{'ip_port': ',110.73.34.65,,:,8123,"', 'user_pass': ''},",HTTP,"{'ip_port': '110.73.34.65:8123', 'user_pass': ''},"
{'ip_port': ',111.155.116.210,,:,8123,"', 'user_pass': ''},",HTTP,"{'ip_port': '111.155.116.210:8123', 'user_pass': ''},"
{'ip_port': ',153.34.85.2,,:,8118,"', 'user_pass': ''},",HTTPS,"{'ip_port': '153.34.85.2:8118', 'user_pass': ''},"
{'ip_port': ',221.229.18.153,,:,3128,"', 'user_pass': ''},",HTTPS,"{'ip_port': '221.229.18.153:3128', 'user_pass': ''},"
{'ip_port': ',111.155.116.217,,:,8123,"', 'user_pass': ''},",HTTP,"{'ip_port': '111.155.116.217:8123', 'user_pass': ''},"
{'ip_port': ',125.40.47.18,,:,80,"', 'user_pass': ''},",HTTPS,"{'ip_port': '125.40.47.18:80', 'user_pass': ''},"
{'ip_port': ',115.213.200.213,,:,808,"', 'user_pass': ''},",HTTPS,"{'ip_port': '115.213.200.213:808', 'user_pass': ''},"
{'ip_port': ',123.161.153.163,,:,29066,"', 'user_pass': ''},",HTTPS,"{'ip_port': '123.161.153.163:29066', 'user_pass': ''},"
{'ip_port': ',111.155.116.236,,:,8123,"', 'user_pass': ''},",HTTP,"{'ip_port': '111.155.116.236:8123', 'user_pass': ''},"
{'ip_port': ',116.231.60.140,,:,8118,"', 'user_pass': ''},",HTTPS,"{'ip_port': '116.231.60.140:8118', 'user_pass': ''},"
{'ip_port': ',220.162.155.73,,:,43026,"', 'user_pass': ''},",HTTPS,"{'ip_port': '220.162.155.73:43026', 'user_pass': ''},"
{'ip_port': ',124.228.239.251,,:,3128,"', 'user_pass': ''},",HTTP,"{'ip_port': '124.228.239.251:3128', 'user_pass': ''},"
{'ip_port': ',115.221.126.158,,:,30760,"', 'user_pass': ''},",HTTPS,"{'ip_port': '115.221.126.158:30760', 'user_pass': ''},"
{'ip_port': ',221.229.18.55,,:,3128,"', 'user_pass': ''},",HTTP,"{'ip_port': '221.229.18.55:3128', 'user_pass': ''},"
{'ip_port': ',1.196.135.129,,:,47312,"', 'user_pass': ''},",HTTPS,"{'ip_port': '1.196.135.129:47312', 'user_pass': ''},"
{'ip_port': ',111.155.116.232,,:,8123,"', 'user_pass': ''},",HTTPS,"{'ip_port': '111.155.116.232:8123', 'user_pass': ''},"
{'ip_port': ',118.114.77.47,,:,8080,"', 'user_pass': ''},",HTTP,"{'ip_port': '118.114.77.47:8080', 'user_pass': ''},"
{'ip_port': ',27.40.157.19,,:,61234,"', 'user_pass': ''},",HTTPS,"{'ip_port': '27.40.157.19:61234', 'user_pass': ''},"
{'ip_port': ',59.51.120.42,,:,3128,"', 'user_pass': ''},",HTTP,"{'ip_port': '59.51.120.42:3128', 'user_pass': ''},"
{'ip_port': ',27.40.147.73,,:,61234,"', 'user_pass': ''},",HTTP,"{'ip_port': '27.40.147.73:61234', 'user_pass': ''},"
{'ip_port': ',118.254.153.49,,:,3128,"', 'user_pass': ''},",HTTPS,"{'ip_port': '118.254.153.49:3128', 'user_pass': ''},"
{'ip_port': ',49.85.0.151,,:,36970,"', 'user_pass': ''},",HTTPS,"{'ip_port': '49.85.0.151:36970', 'user_pass': ''},"
{'ip_port': ',123.163.80.98,,:,808,"', 'user_pass': ''},",HTTPS,"{'ip_port': '123.163.80.98:808', 'user_pass': ''},"
{'ip_port': ',125.78.111.203,,:,41592,"', 'user_pass': ''},",HTTPS,"{'ip_port': '125.78.111.203:41592', 'user_pass': ''},"
{'ip_port': ',221.234.249.158,,:,808,"', 'user_pass': ''},",HTTPS,"{'ip_port': '221.234.249.158:808', 'user_pass': ''},"
{'ip_port': ',175.16.120.20,,:,8118,"', 'user_pass': ''},",HTTP,"{'ip_port': '175.16.120.20:8118', 'user_pass': ''},"
{'ip_port': ',183.150.32.25,,:,3128,"', 'user_pass': ''},",HTTP,"{'ip_port': '183.150.32.25:3128', 'user_pass': ''},"
{'ip_port': ',59.59.214.244,,:,31914,"', 'user_pass': ''},",HTTPS,"{'ip_port': '59.59.214.244:31914', 'user_pass': ''},"
{'ip_port': ',117.24.20.163,,:,42905,"', 'user_pass': ''},",HTTPS,"{'ip_port': '117.24.20.163:42905', 'user_pass': ''},"
{'ip_port': ',115.209.195.199,,:,47860,"', 'user_pass': ''},",HTTPS,"{'ip_port': '115.209.195.199:47860', 'user_pass': ''},"
{'ip_port': ',113.93.101.59,,:,49649,"', 'user_pass': ''},",HTTPS,"{'ip_port': '113.93.101.59:49649', 'user_pass': ''},"
{'ip_port': ',111.155.116.208,,:,8123,"', 'user_pass': ''},",HTTP,"{'ip_port': '111.155.116.208:8123', 'user_pass': ''},"
{'ip_port': ',59.58.209.132,,:,35321,"', 'user_pass': ''},",HTTPS,"{'ip_port': '59.58.209.132:35321', 'user_pass': ''},"
{'ip_port': ',122.242.90.173,,:,37979,"', 'user_pass': ''},",HTTPS,"{'ip_port': '122.242.90.173:37979', 'user_pass': ''},"
{'ip_port': ',49.79.59.103,,:,34898,"', 'user_pass': ''},",HTTPS,"{'ip_port': '49.79.59.103:34898', 'user_pass': ''},"
{'ip_port': ',59.58.240.2,,:,46837,"', 'user_pass': ''},",HTTP,"{'ip_port': '59.58.240.2:46837', 'user_pass': ''},"
{'ip_port': ',114.229.206.246,,:,36494,"', 'user_pass': ''},",HTTPS,"{'ip_port': '114.229.206.246:36494', 'user_pass': ''},"
{'ip_port': ',123.161.156.151,,:,25892,"', 'user_pass': ''},",HTTPS,"{'ip_port': '123.161.156.151:25892', 'user_pass': ''},"
{'ip_port': ',123.54.239.124,,:,20207,"', 'user_pass': ''},",HTTP,"{'ip_port': '123.54.239.124:20207', 'user_pass': ''},"
{'ip_port': ',115.230.68.24,,:,26612,"', 'user_pass': ''},",HTTPS,"{'ip_port': '115.230.68.24:26612', 'user_pass': ''},"
{'ip_port': ',125.78.14.160,,:,47432,"', 'user_pass': ''},",HTTPS,"{'ip_port': '125.78.14.160:47432', 'user_pass': ''},"
{'ip_port': ',123.55.189.168,,:,808,"', 'user_pass': ''},",HTTP,"{'ip_port': '123.55.189.168:808', 'user_pass': ''},"
{'ip_port': ',59.51.121.160,,:,3128,"', 'user_pass': ''},",HTTP,"{'ip_port': '59.51.121.160:3128', 'user_pass': ''},"
{'ip_port': ',182.88.10.12,,:,8118,"', 'user_pass': ''},",HTTPS,"{'ip_port': '182.88.10.12:8118', 'user_pass': ''},"
{'ip_port': ',118.254.147.195,,:,3128,"', 'user_pass': ''},",HTTPS,"{'ip_port': '118.254.147.195:3128', 'user_pass': ''},"
{'ip_port': ',140.250.128.249,,:,48760,"', 'user_pass': ''},",HTTPS,"{'ip_port': '140.250.128.249:48760', 'user_pass': ''},"
{'ip_port': ',1.199.193.188,,:,44597,"', 'user_pass': ''},",HTTPS,"{'ip_port': '1.199.193.188:44597', 'user_pass': ''},"
{'ip_port': ',180.112.37.22,,:,22586,"', 'user_pass': ''},",HTTPS,"{'ip_port': '180.112.37.22:22586', 'user_pass': ''},"
{'ip_port': ',114.232.93.185,,:,42942,"', 'user_pass': ''},",HTTP,"{'ip_port': '114.232.93.185:42942', 'user_pass': ''},"
{'ip_port': ',182.34.16.27,,:,22168,"', 'user_pass': ''},",HTTP,"{'ip_port': '182.34.16.27:22168', 'user_pass': ''},"
{'ip_port': ',180.119.65.134,,:,3128,"', 'user_pass': ''},",HTTPS,"{'ip_port': '180.119.65.134:3128', 'user_pass': ''},"
{'ip_port': ',110.189.207.158,,:,38414,"', 'user_pass': ''},",HTTP,"{'ip_port': '110.189.207.158:38414', 'user_pass': ''},"
{'ip_port': ',59.52.187.87,,:,46787,"', 'user_pass': ''},",HTTPS,"{'ip_port': '59.52.187.87:46787', 'user_pass': ''},"
{'ip_port': ',122.241.74.98,,:,3128,"', 'user_pass': ''},",HTTPS,"{'ip_port': '122.241.74.98:3128', 'user_pass': ''},"
{'ip_port': ',61.143.16.130,,:,39142,"', 'user_pass': ''},",HTTPS,"{'ip_port': '61.143.16.130:39142', 'user_pass': ''},"
{'ip_port': ',221.229.18.220,,:,808,"', 'user_pass': ''},",HTTP,"{'ip_port': '221.229.18.220:808', 'user_pass': ''},"
{'ip_port': ',59.58.240.163,,:,33496,"', 'user_pass': ''},",HTTP,"{'ip_port': '59.58.240.163:33496', 'user_pass': ''},"
{'ip_port': ',27.40.136.202,,:,61234,"', 'user_pass': ''},",HTTP,"{'ip_port': '27.40.136.202:61234', 'user_pass': ''},"
{'ip_port': ',1.194.128.235,,:,31298,"', 'user_pass': ''},",HTTPS,"{'ip_port': '1.194.128.235:31298', 'user_pass': ''},"
{'ip_port': ',123.161.238.38,,:,32840,"', 'user_pass': ''},",HTTP,"{'ip_port': '123.161.238.38:32840', 'user_pass': ''},"
{'ip_port': ',117.95.82.233,,:,22786,"', 'user_pass': ''},",HTTP,"{'ip_port': '117.95.82.233:22786', 'user_pass': ''},"
{'ip_port': ',58.208.114.171,,:,31230,"', 'user_pass': ''},",HTTP,"{'ip_port': '58.208.114.171:31230', 'user_pass': ''},"
{'ip_port': ',110.73.10.138,,:,8123,"', 'user_pass': ''},",HTTP,"{'ip_port': '110.73.10.138:8123', 'user_pass': ''},"
{'ip_port': ',117.95.200.33,,:,31394,"', 'user_pass': ''},",HTTP,"{'ip_port': '117.95.200.33:31394', 'user_pass': ''},"
{'ip_port': ',118.254.144.136,,:,3128,"', 'user_pass': ''},",HTTP,"{'ip_port': '118.254.144.136:3128', 'user_pass': ''},"
{'ip_port': ',112.228.159.80,,:,8118,"', 'user_pass': ''},",HTTP,"{'ip_port': '112.228.159.80:8118', 'user_pass': ''},"
{'ip_port': ',180.119.65.120,,:,3128,"', 'user_pass': ''},",HTTPS,"{'ip_port': '180.119.65.120:3128', 'user_pass': ''},"
{'ip_port': ',123.55.89.15,,:,26642,"', 'user_pass': ''},",HTTPS,"{'ip_port': '123.55.89.15:26642', 'user_pass': ''},"
{'ip_port': ',140.250.138.183,,:,28678,"', 'user_pass': ''},",HTTPS,"{'ip_port': '140.250.138.183:28678', 'user_pass': ''},"
{'ip_port': ',180.121.132.124,,:,808,"', 'user_pass': ''},",HTTPS,"{'ip_port': '180.121.132.124:808', 'user_pass': ''},"
{'ip_port': ',110.73.48.236,,:,8123,"', 'user_pass': ''},",HTTP,"{'ip_port': '110.73.48.236:8123', 'user_pass': ''},"
{'ip_port': ',121.31.199.15,,:,8123,"', 'user_pass': ''},",HTTP,"{'ip_port': '121.31.199.15:8123', 'user_pass': ''},"
{'ip_port': ',110.90.133.189,,:,46607,"', 'user_pass': ''},",HTTP,"{'ip_port': '110.90.133.189:46607', 'user_pass': ''},"
{'ip_port': ',115.46.67.101,,:,8123,"', 'user_pass': ''},",HTTPS,"{'ip_port': '115.46.67.101:8123', 'user_pass': ''},"
{'ip_port': ',117.84.178.18,,:,28200,"', 'user_pass': ''},",HTTP,"{'ip_port': '117.84.178.18:28200', 'user_pass': ''},"
{'ip_port': ',180.155.128.16,,:,31052,"', 'user_pass': ''},",HTTPS,"{'ip_port': '180.155.128.16:31052', 'user_pass': ''},"
{'ip_port': ',110.73.53.65,,:,8123,"', 'user_pass': ''},",HTTP,"{'ip_port': '110.73.53.65:8123', 'user_pass': ''},"
{'ip_port': ',60.167.20.28,,:,808,"', 'user_pass': ''},",HTTPS,"{'ip_port': '60.167.20.28:808', 'user_pass': ''},"
{'ip_port': ',115.213.206.93,,:,26871,"', 'user_pass': ''},",HTTPS,"{'ip_port': '115.213.206.93:26871', 'user_pass': ''},"
{'ip_port': ',121.226.169.94,,:,30569,"', 'user_pass': ''},",HTTP,"{'ip_port': '121.226.169.94:30569', 'user_pass': ''},"
{'ip_port': ',60.167.22.158,,:,33506,"', 'user_pass': ''},",HTTPS,"{'ip_port': '60.167.22.158:33506', 'user_pass': ''},"
{'ip_port': ',59.51.122.218,,:,3128,"', 'user_pass': ''},",HTTPS,"{'ip_port': '59.51.122.218:3128', 'user_pass': ''},"
{'ip_port': ',113.121.240.244,,:,808,"', 'user_pass': ''},",HTTP,"{'ip_port': '113.121.240.244:808', 'user_pass': ''},"
{'ip_port': ',110.88.10.52,,:,8118,"', 'user_pass': ''},",HTTPS,"{'ip_port': '110.88.10.52:8118', 'user_pass': ''},"
{'ip_port': ',42.177.128.72,,:,43029,"', 'user_pass': ''},",HTTPS,"{'ip_port': '42.177.128.72:43029', 'user_pass': ''},"
{'ip_port': ',222.77.36.224,,:,33536,"', 'user_pass': ''},",HTTPS,"{'ip_port': '222.77.36.224:33536', 'user_pass': ''},"
{'ip_port': ',113.79.75.73,,:,808,"', 'user_pass': ''},",HTTPS,"{'ip_port': '113.79.75.73:808', 'user_pass': ''},"
{'ip_port': ',180.122.144.123,,:,23002,"', 'user_pass': ''},",HTTPS,"{'ip_port': '180.122.144.123:23002', 'user_pass': ''},"
{'ip_port': ',27.193.4.54,,:,8118,"', 'user_pass': ''},",HTTP,"{'ip_port': '27.193.4.54:8118', 'user_pass': ''},"
{'ip_port': ',58.200.73.253,,:,808,"', 'user_pass': ''},",HTTPS,"{'ip_port': '58.200.73.253:808', 'user_pass': ''},"
{'ip_port': ',14.112.76.71,,:,3128,"', 'user_pass': ''},",HTTP,"{'ip_port': '14.112.76.71:3128', 'user_pass': ''},"
{'ip_port': ',27.40.158.141,,:,61234,"', 'user_pass': ''},",HTTPS,"{'ip_port': '27.40.158.141:61234', 'user_pass': ''},"
{'ip_port': ',36.25.26.187,,:,43938,"', 'user_pass': ''},",HTTPS,"{'ip_port': '36.25.26.187:43938', 'user_pass': ''},"
{'ip_port': ',180.120.209.178,,:,3128,"', 'user_pass': ''},",HTTPS,"{'ip_port': '180.120.209.178:3128', 'user_pass': ''},"
{'ip_port': ',125.126.170.236,,:,29061,"', 'user_pass': ''},",HTTPS,"{'ip_port': '125.126.170.236:29061', 'user_pass': ''},"
{'ip_port': ',111.155.116.220,,:,8123,"', 'user_pass': ''},",HTTP,"{'ip_port': '111.155.116.220:8123', 'user_pass': ''},"
{'ip_port': ',180.113.98.63,,:,8123,"', 'user_pass': ''},",HTTPS,"{'ip_port': '180.113.98.63:8123', 'user_pass': ''},"
{'ip_port': ',121.207.0.42,,:,808,"', 'user_pass': ''},",HTTPS,"{'ip_port': '121.207.0.42:808', 'user_pass': ''},"
{'ip_port': ',221.231.109.40,,:,3128,"', 'user_pass': ''},",HTTP,"{'ip_port': '221.231.109.40:3128', 'user_pass': ''},"
{'ip_port': ',59.56.224.100,,:,20457,"', 'user_pass': ''},",HTTP,"{'ip_port': '59.56.224.100:20457', 'user_pass': ''},"
{'ip_port': ',36.25.25.213,,:,39546,"', 'user_pass': ''},",HTTP,"{'ip_port': '36.25.25.213:39546', 'user_pass': ''},"
{'ip_port': ',111.155.124.73,,:,8123,"', 'user_pass': ''},",HTTP,"{'ip_port': '111.155.124.73:8123', 'user_pass': ''},"
{'ip_port': ',121.205.8.41,,:,22514,"', 'user_pass': ''},",HTTP,"{'ip_port': '121.205.8.41:22514', 'user_pass': ''},"
{'ip_port': ',180.122.149.19,,:,25168,"', 'user_pass': ''},",HTTPS,"{'ip_port': '180.122.149.19:25168', 'user_pass': ''},"
{'ip_port': ',123.55.178.27,,:,35043,"', 'user_pass': ''},",HTTP,"{'ip_port': '123.55.178.27:35043', 'user_pass': ''},"
{'ip_port': ',120.33.247.111,,:,35194,"', 'user_pass': ''},",HTTPS,"{'ip_port': '120.33.247.111:35194', 'user_pass': ''},"
{'ip_port': ',60.184.205.27,,:,38219,"', 'user_pass': ''},",HTTP,"{'ip_port': '60.184.205.27:38219', 'user_pass': ''},"
{'ip_port': ',61.160.212.181,,:,808,"', 'user_pass': ''},",HTTP,"{'ip_port': '61.160.212.181:808', 'user_pass': ''},"
{'ip_port': ',122.241.223.112,,:,37296,"', 'user_pass': ''},",HTTPS,"{'ip_port': '122.241.223.112:37296', 'user_pass': ''},"
{'ip_port': ',119.41.202.11,,:,53281,"', 'user_pass': ''},",HTTPS,"{'ip_port': '119.41.202.11:53281', 'user_pass': ''},"
{'ip_port': ',118.254.155.202,,:,3128,"', 'user_pass': ''},",HTTPS,"{'ip_port': '118.254.155.202:3128', 'user_pass': ''},"
{'ip_port': ',113.128.8.6,,:,25676,"', 'user_pass': ''},",HTTP,"{'ip_port': '113.128.8.6:25676', 'user_pass': ''},"
{'ip_port': ',171.8.168.58,,:,48770,"', 'user_pass': ''},",HTTPS,"{'ip_port': '171.8.168.58:48770', 'user_pass': ''},"
